,id,carat,depth,table,cut_c,color_c,clarity_c
273,273,0.56,62.1,54.0,4,2,6
274,274,0.5,62.2,60.0,2,1,2
275,275,0.31,62.3,57.0,4,4,7
276,276,0.32,62.5,56.0,4,5,6
277,277,0.73,63.2,58.0,2,5,2
278,278,0.33,61.4,55.0,4,3,4
279,279,1.5,62.9,57.0,3,1,1
280,280,1.0,58.6,61.0,3,4,3
281,281,0.5,63.4,59.0,1,5,3
282,282,0.68,58.6,59.0,3,3,4
283,283,1.51,64.9,53.0,0,2,3
284,284,0.7,62.2,55.0,4,1,3
285,285,1.22,61.2,59.0,3,1,2
286,286,1.0,59.0,59.0,3,4,2
287,287,0.84,63.4,55.0,2,5,2
288,288,1.5,60.6,60.0,2,2,2
289,289,0.52,58.4,62.0,3,3,1
290,290,0.31,60.7,61.0,3,4,3
291,291,2.0,61.9,59.0,2,0,2
292,292,0.3,62.3,56.0,4,5,3
293,293,0.3,62.0,55.0,4,1,1
294,294,0.25,61.2,57.0,4,5,6
295,295,1.62,61.2,61.0,3,6,1
296,296,1.14,61.1,59.0,3,3,1
297,297,0.7,59.0,62.0,2,3,1
298,298,0.55,60.9,57.0,4,0,2
299,299,0.71,62.7,57.0,4,5,3
300,300,1.33,59.9,58.0,3,4,1
301,301,0.71,62.9,57.0,4,4,2
302,302,0.33,62.5,54.0,4,4,6
303,303,1.55,62.0,60.0,3,4,4
304,304,1.02,60.2,60.0,2,5,6
305,305,0.3,61.5,55.0,4,2,5
306,306,0.46,62.6,53.0,4,5,6
307,307,1.01,61.1,55.0,4,5,2
308,308,0.9,61.3,60.0,1,3,1
309,309,0.53,62.3,58.0,3,1,4
310,310,1.79,61.7,59.0,3,3,4
311,311,1.5,61.1,59.0,3,2,0
312,312,0.33,61.6,60.0,3,1,4
313,313,0.52,61.5,56.0,4,5,3
314,314,0.36,61.8,57.0,4,2,4
315,315,2.0,63.0,59.0,2,0,5
316,316,0.71,64.1,58.0,2,0,4
317,317,0.58,63.1,56.0,1,5,3
318,318,1.33,59.5,57.0,4,2,3
319,319,1.03,61.5,59.0,2,4,2
320,320,0.75,62.0,58.0,4,6,4
321,321,0.63,62.3,56.0,4,4,4
322,322,1.12,62.0,56.0,4,1,2
323,323,0.52,61.2,59.0,3,3,5
324,324,0.72,60.3,59.0,4,2,2
325,325,2.14,62.1,58.0,3,1,1
326,326,1.51,63.6,61.0,1,2,3
327,327,0.47,60.3,61.0,3,2,4
328,328,1.34,62.1,57.0,4,2,3
329,329,1.08,62.1,56.0,4,2,1
330,330,0.34,62.5,59.0,2,5,1
331,331,0.41,62.2,57.0,4,6,3
332,332,0.46,62.5,56.0,4,4,2
333,333,2.02,58.0,58.0,3,1,1
334,334,0.3,63.0,54.0,2,2,6
335,335,0.24,62.9,58.0,2,6,5
336,336,0.26,62.9,59.0,2,4,3
337,337,1.22,61.6,59.0,3,2,1
338,338,1.11,59.3,59.0,3,2,1
339,339,1.01,63.2,58.0,1,4,1
340,340,0.43,60.3,58.0,3,3,6
341,341,0.42,61.1,57.0,4,4,5
342,342,0.5,61.8,56.0,2,4,5
343,343,0.7,62.2,57.0,4,1,4
344,344,0.63,60.9,56.0,4,3,3
345,345,1.0,59.7,57.0,3,5,2
346,346,0.52,62.7,58.0,3,3,2
347,347,0.32,60.7,62.0,3,4,2
348,348,1.16,60.9,55.0,4,3,4
349,349,1.5,62.9,59.0,2,2,5
350,350,1.01,63.1,60.0,1,6,3
351,351,1.5,61.7,56.0,4,3,2
352,352,0.3,61.4,56.0,4,3,6
353,353,0.51,63.1,56.0,1,1,2
354,354,0.51,60.1,56.0,2,3,6
355,355,0.32,63.2,55.0,2,4,2
356,356,1.77,62.3,58.0,3,1,3
357,357,0.31,62.2,59.0,3,3,3
358,358,0.71,62.4,57.0,4,3,3
359,359,2.0,61.4,59.0,3,2,1
360,360,0.71,61.3,57.0,4,6,1
361,361,0.7,63.1,56.0,2,5,2
362,362,0.3,64.3,56.0,1,6,4
363,363,2.07,62.0,55.0,4,1,1
364,364,1.05,59.7,58.0,2,6,3
365,365,1.06,62.2,56.0,4,3,3
366,366,2.01,60.5,60.0,3,1,3
367,367,1.0,63.5,59.0,1,6,1
368,368,1.0,62.7,54.0,4,3,4
369,369,0.71,62.6,63.0,2,1,2
370,370,0.42,62.4,55.0,2,6,6
371,371,1.02,61.3,59.0,2,3,5
372,372,0.6,61.2,57.0,4,5,2
373,373,1.7,61.5,60.0,2,3,5
374,374,0.26,59.6,55.0,2,4,2
375,375,1.02,63.9,59.0,2,6,3
376,376,1.03,62.3,56.0,4,4,1
377,377,1.21,62.0,57.0,4,2,4
378,378,1.53,62.9,60.0,4,2,2
379,379,0.4,59.1,61.0,1,2,5
380,380,1.01,65.2,52.0,0,4,3
381,381,0.4,63.3,57.0,1,1,6
382,382,0.31,62.3,56.0,4,3,6
383,383,1.03,61.6,59.0,3,1,2
384,384,0.31,61.6,58.0,3,4,7
385,385,1.2,62.1,58.0,2,3,5
386,386,0.51,61.7,56.0,4,4,3
387,387,0.31,62.1,55.0,4,4,7
388,388,0.3,61.9,56.0,4,4,6
389,389,0.31,63.5,56.0,1,4,2
390,390,0.31,61.5,56.5,4,2,2
391,391,0.32,62.0,57.0,4,6,2
392,392,0.9,58.3,61.0,1,5,2
393,393,1.21,59.8,60.0,4,4,6
394,394,1.75,62.1,57.0,4,3,3
395,395,0.83,63.1,58.0,2,4,2
396,396,0.7,62.6,56.0,3,5,3
397,397,1.01,61.6,55.0,4,0,1
398,398,1.02,62.5,58.0,3,4,1
399,399,0.75,63.4,56.0,2,3,3
400,400,1.01,61.9,54.0,4,3,4
401,401,1.07,63.5,59.0,2,3,1
402,402,0.63,62.9,54.0,1,2,4
403,403,0.32,62.1,55.0,4,5,3
404,404,0.9,59.3,56.0,1,5,4
405,405,0.7,61.1,60.0,3,5,3
406,406,0.95,60.1,61.0,3,6,1
407,407,0.4,62.3,56.0,4,5,3
408,408,1.02,61.8,57.0,2,4,3
409,409,0.27,61.7,57.0,4,6,6
410,410,1.0,57.7,65.0,1,5,1
411,411,2.04,62.5,52.0,2,1,1
412,412,0.6,62.2,53.0,4,6,3
413,413,0.82,62.1,56.0,4,3,5
414,414,0.51,62.8,55.0,4,5,2
415,415,0.41,60.2,57.0,4,3,6
416,416,0.34,57.5,61.0,1,3,3
417,417,1.04,61.6,55.0,4,4,6
418,418,1.01,62.7,60.0,3,1,2
419,419,0.59,61.8,56.0,4,1,3
420,420,0.47,62.8,56.0,2,3,2
421,421,2.0,62.1,63.0,2,0,1
422,422,1.01,60.8,60.0,3,5,3
423,423,0.57,62.1,56.0,4,4,5
424,424,0.71,62.7,57.0,3,4,2
425,425,0.51,63.9,56.0,1,3,3
426,426,1.03,60.6,59.0,4,5,5
427,427,1.2,62.0,55.0,2,3,3
428,428,1.59,59.9,60.0,3,1,3
429,429,0.31,61.2,55.0,4,6,3
430,430,0.39,63.1,56.0,2,5,3
431,431,0.43,62.4,56.0,4,0,7
432,432,2.01,62.1,60.0,3,1,1
433,433,1.54,59.9,62.0,3,6,1
434,434,0.38,61.0,57.0,4,4,6
435,435,1.68,59.2,57.0,3,0,1
436,436,1.28,61.3,55.0,4,2,6
437,437,1.05,61.4,56.0,4,3,5
438,438,1.0,60.4,57.0,3,5,3
439,439,0.73,62.4,55.0,3,4,2
440,440,1.2,62.2,62.0,1,2,1
441,441,0.37,61.5,56.0,4,3,3
442,442,0.52,63.2,57.0,2,4,4
443,443,1.01,63.4,59.0,1,6,7
444,444,0.31,64.2,59.0,1,4,3
445,445,1.51,62.2,59.0,3,5,3
446,446,0.9,62.4,59.0,2,4,1
447,447,1.01,58.3,59.0,2,6,1
448,448,0.41,59.4,60.0,2,4,3
449,449,0.35,61.4,59.0,3,4,3
450,450,0.54,61.7,55.0,4,5,3
451,451,0.57,59.3,60.0,4,2,2
452,452,0.3,62.2,58.0,3,1,6
453,453,1.01,59.4,59.0,3,2,1
454,454,1.0,60.7,57.0,4,6,7
455,455,0.3,62.9,55.0,2,5,5
456,456,0.32,61.8,54.0,4,5,3
457,457,0.53,63.8,57.0,1,0,3
458,458,1.0,60.7,55.0,4,5,1
459,459,1.31,61.3,58.0,3,3,3
460,460,0.33,61.0,58.0,3,1,5
461,461,1.15,62.5,56.0,2,2,4
462,462,2.05,63.7,61.0,1,3,1
463,463,1.27,61.5,55.0,4,2,2
464,464,0.9,62.4,65.0,1,1,3
465,465,2.01,62.1,56.0,4,2,2
466,466,0.53,56.7,59.0,1,5,2
467,467,0.3,62.1,57.0,4,4,7
468,468,0.82,63.6,58.9,2,1,4
469,469,1.71,60.6,60.0,3,6,1
470,470,0.7,61.0,61.0,1,5,4
471,471,1.81,62.7,58.0,3,1,3
472,472,0.8,63.7,55.0,1,3,0
473,473,2.0,64.0,60.0,1,1,3
474,474,1.02,62.0,58.0,4,6,1
475,475,0.4,62.2,56.0,4,5,5
476,476,1.01,57.6,62.0,1,6,1
477,477,1.7,63.2,57.0,2,0,2
478,478,1.01,60.8,61.0,2,6,1
479,479,1.54,61.0,59.0,3,3,2
480,480,1.26,62.3,58.0,3,4,2
481,481,0.91,62.8,57.0,3,6,2
482,482,1.01,63.1,55.0,2,3,4
483,483,0.31,62.1,55.0,4,6,3
484,484,1.66,64.4,54.0,1,0,3
485,485,1.01,60.5,60.0,4,4,6
486,486,0.33,61.9,58.0,3,3,5
487,487,2.08,60.0,60.0,3,2,1
488,488,0.73,62.9,58.0,2,5,3
489,489,0.31,58.7,60.0,2,2,2
490,490,0.41,60.8,56.0,4,4,4
491,491,1.0,60.3,58.0,3,6,1
492,492,1.6,61.7,56.0,4,4,1
493,493,1.02,66.6,58.0,0,4,1
494,494,0.36,62.1,56.0,4,3,6
495,495,0.31,63.4,55.0,2,5,2
496,496,0.5,63.2,61.0,2,5,1
497,497,0.57,61.5,55.0,4,5,4
498,498,0.42,62.0,55.0,4,4,3
499,499,0.23,61.0,59.0,2,4,3
500,500,0.71,61.2,61.0,3,3,2
501,501,0.3,61.6,56.0,4,5,6
502,502,0.38,60.4,60.0,2,4,4
503,503,0.4,61.6,57.0,4,5,3
504,504,0.4,62.3,57.0,4,3,3
505,505,0.31,61.3,55.0,4,5,4
506,506,1.21,62.2,58.0,3,3,3
507,507,1.01,59.7,60.0,2,1,2
508,508,1.24,58.5,60.0,3,5,2
509,509,1.0,63.5,59.0,2,0,6
510,510,1.2,61.1,57.0,4,2,1
511,511,0.78,59.8,58.0,4,1,3
512,512,0.51,62.2,55.0,4,3,4
513,513,0.76,59.9,59.0,2,0,3
514,514,1.8,61.9,60.0,3,1,2
515,515,1.09,62.8,57.0,4,3,3
516,516,1.03,61.1,55.0,4,1,2
517,517,0.85,62.8,57.0,4,5,1
518,518,0.72,58.0,57.0,1,4,3
519,519,0.34,59.5,56.0,2,6,3
520,520,0.3,61.8,55.0,4,4,4
521,521,1.5,59.0,62.0,2,5,4
522,522,0.72,61.5,57.0,4,3,4
523,523,0.7,61.6,57.0,4,3,3
524,524,1.0,58.8,62.0,2,5,1
525,525,0.32,62.3,55.0,2,5,2
526,526,0.5,63.1,61.0,2,4,2
527,527,1.01,61.9,58.0,3,1,1
528,528,0.52,62.0,55.0,4,5,3
529,529,0.34,61.6,58.0,3,3,5
530,530,0.36,60.4,62.0,2,3,7
531,531,0.31,62.7,57.0,4,3,3
532,532,0.4,61.3,55.0,4,3,4
533,533,0.35,61.7,56.0,4,2,6
534,534,2.02,58.8,61.0,1,5,1
535,535,0.43,60.7,58.0,3,6,1
536,536,0.72,61.5,57.0,4,2,6
537,537,1.24,62.4,59.0,3,6,2
538,538,0.55,62.4,56.0,3,2,1
539,539,1.21,62.0,58.0,2,2,4
540,540,0.3,64.4,61.0,0,3,4
541,541,0.3,60.9,63.0,2,4,4
542,542,1.51,62.8,59.0,2,0,3
543,543,0.41,61.7,56.0,4,5,5
544,544,0.5,66.5,58.0,0,3,4
545,545,1.76,62.2,56.0,4,2,2
546,546,0.43,58.0,57.0,1,1,3
547,547,0.51,61.6,56.0,4,3,6
548,548,0.45,60.1,58.0,3,3,6
549,549,0.7,66.2,57.0,0,6,2
550,550,0.3,62.9,57.0,2,5,2
551,551,2.02,62.6,56.0,4,1,1
552,552,0.32,61.6,56.0,4,3,1
553,553,0.34,61.8,56.0,4,5,5
554,554,0.54,61.4,56.0,4,1,2
555,555,0.53,62.1,55.0,4,1,7
556,556,0.3,61.3,60.0,3,5,2
557,557,0.33,61.2,56.0,2,3,2
558,558,0.41,61.3,56.0,4,4,6
559,559,0.5,60.8,63.0,2,3,2
560,560,0.31,62.2,59.0,2,2,3
561,561,0.32,61.9,55.0,4,3,7
562,562,0.77,60.6,56.0,4,6,1
563,563,0.39,58.4,63.0,2,2,2
564,564,0.92,62.2,58.0,3,2,2
565,565,0.35,61.5,59.0,3,4,3
566,566,1.22,59.2,61.0,2,3,1
567,567,0.32,62.6,55.0,4,5,7
568,568,2.03,60.0,57.0,4,1,1
569,569,1.23,58.9,59.0,2,5,3
570,570,1.3,62.3,58.0,2,1,2
571,571,0.3,63.5,57.0,2,1,4
572,572,0.91,62.2,56.0,4,1,3
573,573,1.2,62.4,57.0,4,1,2
574,574,2.41,60.7,59.0,3,1,1
575,575,1.21,61.8,56.0,4,4,4
576,576,0.42,61.8,56.0,4,5,2
577,577,1.27,62.1,55.0,4,6,2
578,578,0.65,62.6,59.0,3,5,1
579,579,0.41,63.5,57.0,1,5,2
580,580,1.01,62.9,56.0,2,4,3
581,581,0.5,62.8,56.0,4,6,1
582,582,1.01,60.3,56.0,4,4,3
583,583,1.0,61.5,58.0,3,3,3
584,584,1.14,61.3,62.0,2,4,2
585,585,1.09,59.4,57.0,4,5,1
586,586,0.71,63.1,57.0,2,4,2
587,587,0.31,61.5,57.0,4,2,3
588,588,1.01,64.8,56.0,0,4,3
589,589,0.38,62.2,55.0,4,4,7
590,590,1.74,63.2,55.0,2,2,0
591,591,1.03,61.3,56.0,4,1,2
592,592,1.02,61.9,53.0,4,3,3
593,593,0.73,61.3,57.0,4,6,2
594,594,0.7,61.6,58.0,3,0,2
595,595,1.0,59.4,60.0,3,2,1
596,596,0.62,58.8,67.0,0,5,4
597,597,0.41,62.0,58.0,3,6,1
598,598,0.4,59.3,59.0,3,4,3
599,599,1.11,63.6,58.0,1,1,3
600,600,1.6,62.6,59.0,3,0,4
601,601,1.01,61.4,57.0,4,5,3
602,602,0.71,61.3,59.0,3,2,3
603,603,0.65,61.1,61.7,1,1,4
604,604,1.0,60.9,61.0,1,2,3
605,605,0.72,62.4,57.0,4,5,1
606,606,0.91,66.8,58.0,0,4,3
607,607,1.01,63.8,59.0,1,4,2
608,608,0.56,62.5,59.0,2,6,7
609,609,0.3,62.6,54.0,4,5,3
610,610,0.44,63.2,53.0,2,5,2
611,611,0.31,63.2,57.0,2,2,4
612,612,0.34,60.4,57.0,4,6,2
613,613,0.91,62.1,55.0,2,3,1
614,614,0.73,62.1,56.0,4,2,6
615,615,0.4,62.9,58.0,2,5,7
616,616,1.7,61.0,56.0,4,3,6
617,617,1.01,62.1,56.0,2,5,2
618,618,0.4,62.8,54.0,4,3,3
619,619,0.74,59.1,60.0,2,5,1
620,620,2.18,62.5,55.0,4,1,1
621,621,0.9,62.0,56.0,4,2,4
622,622,0.47,63.0,60.0,2,0,4
623,623,0.9,66.0,57.0,0,4,2
624,624,0.74,61.6,57.0,4,0,4
625,625,0.32,62.0,55.0,4,2,3
626,626,0.7,61.1,58.0,2,6,2
627,627,1.24,55.6,67.0,0,6,2
628,628,1.52,61.9,56.0,4,1,2
629,629,0.36,62.0,56.0,4,4,2
630,630,1.13,62.0,57.0,4,2,3
631,631,0.36,62.2,59.0,3,5,2
632,632,0.31,61.9,56.0,4,4,5
633,633,0.76,60.5,56.0,4,5,4
