,id,carat,depth,table,cut_c,color_c,clarity_c,y
43,43,0.93,63.7,54.0,1,0,2,2438
44,44,0.53,61.2,56.0,4,6,3,1857
45,45,0.4,60.9,57.0,2,3,6,1123
46,46,0.73,61.9,55.0,4,4,1,2588
47,47,1.14,62.2,58.0,3,1,2,4788
48,48,1.02,61.4,58.0,3,5,2,5956
49,49,1.2,62.6,54.3,4,3,4,8687
50,50,1.02,62.6,57.0,4,4,3,7632
51,51,1.02,61.4,58.0,3,6,5,10580
52,52,1.2,63.0,57.0,4,1,1,4596
54,54,1.11,60.9,59.0,3,3,2,4096
55,55,0.39,60.6,55.0,3,4,4,1092
56,56,1.07,63.0,57.0,3,2,2,5465
57,57,1.14,62.5,59.0,2,1,3,4785
58,58,0.58,61.4,57.1,4,5,1,1392
59,59,1.5,64.3,57.0,1,3,1,8043
60,60,0.26,61.4,56.0,4,3,5,545
61,61,1.01,61.8,62.0,1,1,1,3399
62,62,0.4,61.1,56.0,4,4,4,1050
63,63,0.33,62.4,58.0,3,4,3,666
64,64,1.28,61.7,55.0,4,4,4,11580
65,65,0.75,62.4,55.0,4,6,3,3456
66,66,1.7,61.2,57.0,3,3,4,17492
67,67,1.02,62.8,56.0,4,6,2,6158
68,68,0.9,61.6,57.0,4,3,2,4001
69,69,0.83,62.0,59.0,3,4,3,3393
70,70,0.9,60.3,63.0,2,4,1,3630
71,71,0.32,60.9,58.0,2,3,3,564
72,72,1.05,63.1,59.0,1,5,4,7826
73,73,0.9,62.4,63.0,2,6,2,3997
74,74,0.71,62.3,57.0,4,5,1,2190
75,75,0.6,61.5,57.0,4,4,5,3196
76,76,1.23,61.2,57.0,2,0,5,5665
77,77,1.01,62.6,57.0,0,6,2,5628
78,78,0.7,65.8,59.0,0,4,4,2381
79,79,1.59,62.4,56.0,4,1,2,10106
80,80,0.35,62.2,58.0,2,3,7,1044
81,81,0.9,63.6,59.0,1,4,3,4234
83,83,0.71,60.4,62.0,3,5,2,2441
84,84,0.26,60.8,58.0,2,4,6,679
85,85,0.53,61.2,56.0,4,4,3,1655
86,86,0.35,61.2,58.0,3,1,3,630
87,87,0.3,62.0,60.0,3,3,5,684
88,88,1.04,60.6,57.0,2,3,1,4703
89,89,0.23,62.3,55.0,2,4,6,583
90,90,1.03,61.8,59.0,3,4,4,7328
91,91,0.3,62.2,57.0,4,3,2,477
92,92,1.08,63.1,59.0,1,5,2,5096
93,93,1.53,61.3,59.0,4,1,1,8062
94,94,1.2,61.3,56.0,4,5,3,10214
95,95,0.71,60.8,57.0,4,5,2,3360
96,96,0.41,60.3,59.0,3,3,2,923
97,97,1.09,62.1,57.0,3,3,3,5098
98,98,0.7,61.1,61.0,1,4,2,2445
99,99,0.91,61.5,56.0,3,6,1,4051
100,100,1.07,60.9,58.0,2,6,7,18114
101,101,1.52,64.1,59.0,1,2,2,8915
102,102,0.81,64.3,53.0,1,4,2,2718
103,103,0.5,62.8,56.0,2,4,2,1250
104,104,0.35,63.0,55.0,2,2,5,706
105,105,0.7,60.1,60.0,2,3,4,3017
106,106,0.34,60.2,58.0,3,2,2,477
107,107,0.71,60.5,56.0,4,5,2,3527
108,108,0.31,61.7,55.0,4,5,3,872
109,109,0.55,61.5,56.0,3,5,3,1881
110,110,1.05,61.9,56.0,4,3,3,6604
111,111,0.32,60.9,60.0,3,2,2,461
112,112,0.3,61.5,58.0,4,5,5,766
113,113,0.7,61.6,56.1,2,2,1,2306
114,114,0.9,62.8,57.0,2,2,1,3160
115,115,0.32,61.8,60.0,2,4,5,786
116,116,1.12,62.0,55.0,4,6,3,8279
117,117,0.72,63.3,57.0,2,3,3,2477
118,118,0.7,62.2,57.0,4,5,2,2542
119,119,0.3,62.9,57.0,2,4,3,605
120,120,0.5,59.9,58.0,4,4,5,2016
121,121,1.5,58.7,57.0,3,6,1,9173
122,122,0.55,60.6,56.0,2,5,5,2499
123,123,0.53,63.0,60.0,1,5,1,1127
124,124,1.0,63.3,61.0,1,4,2,4712
125,125,0.74,62.4,57.0,2,6,3,2906
126,126,0.5,60.9,57.0,4,6,2,1563
127,127,0.34,62.2,58.0,3,2,4,765
128,128,1.33,61.9,58.0,3,2,2,7302
129,129,0.58,62.1,58.0,3,5,2,1812
130,130,0.32,62.0,54.0,4,4,4,876
131,131,1.0,62.8,59.0,3,5,1,4200
132,132,0.33,61.0,55.0,3,5,4,1069
133,133,1.03,62.0,56.0,4,4,5,9245
134,134,0.72,61.6,58.0,3,3,5,2720
135,135,0.7,60.6,59.0,3,2,4,2636
136,136,0.39,62.5,55.0,2,3,2,694
137,137,0.71,60.2,56.0,4,6,2,2822
138,138,0.71,60.2,58.0,2,6,1,2519
139,139,1.53,61.9,57.0,4,2,5,12848
140,140,1.0,61.1,60.0,2,4,3,6619
141,141,0.39,61.7,62.0,2,3,4,741
142,142,0.4,63.2,57.0,1,6,3,786
143,143,1.01,59.5,57.0,2,4,1,3709
144,144,1.01,63.6,60.0,1,4,5,6932
145,145,1.14,62.6,57.0,4,2,1,4788
146,146,0.51,62.9,57.0,4,4,3,1687
147,147,1.5,62.2,57.0,4,2,3,10692
148,148,0.75,60.3,57.0,4,6,1,2726
149,149,0.31,61.4,56.0,4,3,3,698
150,150,0.97,62.3,56.0,4,5,1,4078
151,151,0.9,61.7,57.0,2,4,3,4493
152,152,0.3,60.4,60.0,3,2,7,1013
153,153,0.9,62.5,58.0,3,1,1,2948
154,154,1.0,60.0,62.0,3,2,1,3584
155,155,0.3,62.2,55.0,4,6,2,709
156,156,1.02,61.0,56.0,4,5,3,8225
157,157,0.9,63.6,63.0,1,6,2,3755
158,158,1.55,59.2,59.0,2,3,2,10707
159,159,0.68,61.9,55.0,1,3,6,3225
160,160,0.4,63.3,56.0,2,5,2,882
161,161,0.51,62.9,56.0,3,2,1,1125
163,163,0.31,61.2,58.0,4,2,2,417
164,164,1.1,61.4,57.0,4,2,4,6470
165,165,1.0,62.4,59.0,3,4,0,3405
166,166,0.72,61.3,59.0,2,6,1,2692
167,167,0.38,61.6,54.0,4,3,2,710
168,168,1.22,62.4,57.0,2,2,2,6323
169,169,0.53,61.4,57.0,4,3,6,2106
170,170,1.02,62.7,58.0,3,3,3,5506
171,171,0.33,61.7,59.0,2,2,7,787
172,172,1.06,61.8,56.0,4,1,4,6060
173,173,0.3,60.7,58.0,3,4,7,1013
174,174,0.28,62.4,57.0,4,6,3,487
175,175,0.31,61.9,55.0,4,4,3,802
176,176,1.01,61.9,55.0,2,5,3,6666
177,177,1.53,62.8,55.0,4,1,4,10796
178,178,1.07,58.9,59.0,3,2,2,4235
179,179,0.25,61.6,55.0,4,4,3,535
180,180,0.33,61.9,57.0,4,2,5,666
181,181,1.25,62.0,59.0,3,0,3,5264
182,182,0.32,61.1,55.0,4,3,6,814
183,183,0.55,60.2,56.0,4,6,3,2459
184,184,1.12,60.7,61.0,3,0,1,3266
185,185,0.27,62.3,53.0,4,3,4,527
186,186,0.93,60.3,58.0,3,0,4,3062
187,187,0.31,62.5,55.0,4,2,5,802
188,188,0.43,62.5,60.0,2,4,3,804
189,189,0.31,63.8,55.0,1,1,2,523
190,190,1.23,61.3,57.0,4,2,7,8431
191,191,1.01,62.4,58.0,2,4,1,4416
192,192,0.4,62.3,54.0,4,3,5,931
193,193,1.3,62.5,58.0,3,4,4,11392
194,194,0.5,63.1,60.0,2,4,1,1020
195,195,2.03,62.4,59.0,3,6,1,18286
196,196,0.4,62.9,57.0,2,0,3,596
197,197,0.32,63.3,56.0,2,5,2,720
198,198,1.01,63.9,58.0,1,5,1,3737
199,199,1.04,62.5,57.0,4,2,2,4648
200,200,0.31,61.9,58.0,3,5,5,1046
201,201,1.06,62.3,56.0,4,1,3,4530
202,202,1.05,63.1,60.0,1,2,2,4608
203,203,0.71,62.2,57.0,4,5,3,2776
204,204,0.34,62.6,56.0,4,1,4,537
205,205,0.73,62.2,54.0,4,4,5,3193
206,206,0.99,63.3,54.0,1,4,1,4052
207,207,0.9,62.2,55.0,4,5,1,4191
208,208,0.36,62.9,57.0,2,3,4,726
209,209,0.43,61.9,56.0,4,5,3,1048
210,210,1.01,62.0,58.0,3,3,1,4327
211,211,1.19,58.8,58.0,3,6,1,5504
212,212,0.39,62.4,59.0,2,2,1,562
213,213,0.87,63.1,60.0,2,0,2,2379
214,214,0.91,61.4,54.0,4,5,2,5252
215,215,0.35,61.0,57.0,4,3,3,633
216,216,1.02,61.9,58.0,2,4,2,5019
217,217,0.72,62.9,58.0,2,2,3,2396
218,218,0.7,60.6,60.0,2,4,2,2662
219,219,1.56,62.4,57.0,4,0,3,7809
220,220,1.12,61.8,58.0,2,2,1,4624
221,221,1.12,60.2,59.0,2,3,1,4852
222,222,2.16,62.3,60.0,2,2,1,14824
223,223,0.51,62.5,56.0,4,6,3,2056
224,224,0.24,62.5,56.0,2,4,5,478
225,225,1.27,60.4,58.0,3,0,1,4660
226,226,0.9,60.9,59.0,2,3,3,4269
227,227,0.7,64.5,59.0,0,2,2,2176
228,228,0.56,62.6,56.0,4,4,3,1761
229,229,1.13,60.1,60.0,3,2,2,5050
230,230,0.51,63.3,56.0,2,0,2,1071
231,231,1.01,62.9,57.0,4,3,4,6176
232,232,0.56,61.6,55.0,4,4,3,1723
233,233,0.73,62.1,54.0,4,3,2,2351
234,234,0.91,62.8,59.0,3,5,1,3898
235,235,0.4,62.9,56.0,4,6,4,1200
236,236,0.34,62.2,55.0,4,5,3,956
237,237,1.7,62.2,58.0,3,1,3,11888
238,238,0.9,62.9,57.0,2,5,3,4580
239,239,0.51,61.7,54.0,4,5,3,1781
240,240,0.7,60.3,60.0,1,5,3,3115
241,241,0.43,61.3,58.0,3,3,3,867
242,242,0.73,62.2,59.0,3,5,2,2821
243,243,0.32,61.4,55.0,4,5,4,713
244,244,0.32,61.5,59.0,3,2,6,936
245,245,0.91,62.4,58.0,2,4,1,3659
246,246,0.4,64.0,57.0,1,0,3,591
247,247,0.46,62.1,54.7,4,4,1,851
248,248,1.01,62.3,60.0,2,1,3,4666
249,249,0.31,62.0,56.0,4,4,3,625
250,250,1.11,62.0,54.0,4,2,1,4662
251,251,0.5,60.7,61.0,3,5,0,840
252,252,0.51,62.5,60.0,3,5,3,1709
253,253,0.3,61.9,57.0,4,4,6,776
254,254,0.41,61.3,56.0,4,5,6,1367
255,255,0.53,63.9,55.0,1,6,1,1226
256,256,0.3,61.1,59.0,3,2,3,608
257,257,0.4,62.6,58.0,3,2,4,807
258,258,0.32,61.2,56.0,4,6,5,803
259,259,1.3,62.1,55.0,4,4,5,12629
260,260,2.03,62.3,60.0,2,1,2,16392
262,262,1.2,62.3,57.0,2,2,2,6569
263,263,2.18,62.0,57.0,4,1,3,13769
264,264,0.26,62.1,56.0,3,5,3,580
265,265,0.91,64.7,56.0,0,2,2,3816
266,266,0.34,62.1,55.0,4,5,2,765
267,267,0.33,60.8,56.0,4,3,6,868
268,268,0.33,61.9,55.0,4,4,6,955
269,269,0.35,62.2,58.0,3,5,4,718
270,270,0.71,63.3,56.0,2,3,4,2494
271,271,1.07,60.2,55.0,3,6,2,6112
272,272,0.71,62.9,56.0,2,6,4,3465
274,274,0.43,61.6,55.0,4,2,6,1017
275,275,0.55,62.7,57.0,4,6,3,1755
276,276,0.9,62.3,56.0,4,3,1,3718
277,277,0.72,62.8,56.0,2,1,6,2562
278,278,0.31,61.7,55.1,4,0,4,429
279,279,0.23,61.1,55.0,4,2,6,484
280,280,0.31,60.4,59.0,3,5,5,1046
281,281,1.52,61.9,57.0,4,4,1,10129
282,282,1.22,59.0,58.0,2,6,1,6607
283,283,1.32,61.2,57.0,4,1,4,7480
284,284,1.24,59.9,59.0,3,6,1,5382
285,285,1.01,61.6,59.0,3,2,3,5166
286,286,0.4,61.8,56.0,4,1,3,639
287,287,0.8,61.4,57.0,3,0,1,2074
288,288,0.5,63.0,58.0,2,5,2,1316
289,289,1.09,60.3,61.0,1,4,1,4698
290,290,0.3,60.2,58.0,3,3,7,895
291,291,0.2,59.0,60.0,3,5,3,367
292,292,1.21,60.1,57.0,4,3,3,9873
293,293,1.43,66.0,57.0,0,5,1,6086
294,294,0.56,61.9,54.0,4,1,7,1689
295,295,1.71,61.6,59.0,4,0,5,10945
296,296,1.24,62.2,58.0,3,4,3,9411
297,297,1.43,61.5,58.0,3,4,2,8809
299,299,0.34,62.6,58.0,3,1,6,626
300,300,0.41,60.7,57.0,4,5,6,1367
301,301,1.12,62.9,57.0,2,4,2,6262
302,302,1.03,62.5,59.0,3,5,3,6183
303,303,1.35,62.8,60.0,3,4,1,6804
304,304,0.32,61.7,56.0,4,3,6,730
305,305,0.3,59.4,60.0,4,6,5,802
306,306,0.5,57.9,61.0,1,3,3,1415
307,307,1.1,61.6,56.0,4,3,2,6837
308,308,0.33,61.4,59.0,3,3,4,854
309,309,0.51,62.1,56.0,4,3,1,1148
310,310,0.4,61.8,58.0,3,2,6,1088
311,311,0.73,59.1,59.0,4,5,2,2846
312,312,1.2,63.5,55.0,1,6,2,5913
313,313,0.77,61.0,56.0,4,5,3,3303
314,314,0.71,62.0,56.0,2,1,2,2098
315,315,0.7,61.0,55.0,4,4,3,3468
316,316,0.52,60.9,61.0,3,6,2,1605
317,317,0.57,61.6,56.0,4,2,6,1961
318,318,0.71,63.8,56.0,1,1,6,2572
319,319,0.32,62.3,55.0,4,3,4,645
320,320,0.7,61.7,59.0,2,0,1,1788
321,321,0.51,62.0,57.0,4,5,4,1841
322,322,0.31,59.2,62.0,3,4,6,997
323,323,0.41,62.0,56.0,4,2,5,899
324,324,0.97,59.9,59.0,3,4,2,4726
325,325,0.4,63.8,54.0,2,6,2,694
326,326,0.32,62.0,55.0,4,6,3,972
327,327,0.3,61.6,57.0,4,5,5,1013
328,328,0.91,58.2,59.0,1,2,2,3855
329,329,0.55,61.1,57.0,4,4,3,1819
330,330,1.09,62.3,62.0,3,1,1,2708
331,331,0.37,61.4,56.0,4,5,5,876
332,332,1.01,58.8,58.0,3,3,2,4395
333,333,0.54,61.6,56.0,4,4,5,2231
334,334,1.51,62.6,59.0,3,1,1,7292
335,335,1.05,61.3,57.0,4,3,4,7155
336,336,0.51,61.3,58.0,3,1,2,1084
337,337,1.01,63.5,60.0,2,3,2,4271
338,338,2.04,60.2,56.0,4,1,2,16718
339,339,1.55,60.7,59.0,3,0,3,8055
340,340,1.14,62.8,58.0,1,2,2,5487
341,341,0.41,61.4,56.0,4,4,7,1439
342,342,0.71,62.2,55.0,2,4,4,3045
343,343,1.11,60.4,59.0,3,2,1,3605
344,344,1.12,60.9,63.0,2,5,1,3864
345,345,0.32,60.4,59.0,3,2,1,504
346,346,0.7,63.7,55.0,1,5,1,2435
347,347,0.5,61.4,61.0,2,4,1,1068
348,348,0.31,62.0,55.0,4,6,3,734
349,349,1.01,61.0,58.0,3,3,2,4808
350,350,0.59,62.0,56.0,2,3,4,1878
351,351,0.32,61.5,56.0,4,6,3,972
352,352,0.71,61.0,56.0,4,6,1,2505
353,353,0.37,61.6,57.0,4,4,5,920
354,354,0.31,63.9,55.0,1,1,4,586
355,355,0.71,62.9,58.0,3,2,2,2364
356,356,1.21,61.6,61.0,3,2,2,6505
357,357,2.01,59.4,58.0,3,3,1,15562
358,358,0.32,61.8,56.0,4,6,6,1067
359,359,0.5,61.4,57.0,3,3,5,1909
360,360,0.31,62.1,56.0,4,3,7,871
361,361,0.4,63.2,58.0,2,5,2,882
362,362,0.23,61.3,58.0,2,6,5,530
363,363,0.38,61.4,57.0,4,0,3,617
364,364,1.38,61.4,61.0,2,4,4,11286
365,365,0.56,61.1,58.0,3,6,3,1963
366,366,1.33,58.6,61.0,3,3,3,9682
367,367,0.41,65.3,58.0,0,1,4,735
368,368,0.7,61.5,58.0,2,5,5,3429
369,369,0.71,61.6,57.0,4,5,3,3112
370,370,0.42,59.8,56.0,2,5,5,1167
371,371,1.56,62.2,58.0,3,2,3,10424
372,372,1.03,62.8,58.0,3,0,1,3634
373,373,0.41,62.8,57.0,4,6,4,1230
374,374,0.31,61.7,54.0,4,3,7,891
375,375,0.42,62.0,55.0,4,4,6,1233
377,377,1.5,61.3,57.0,4,1,0,5593
378,378,0.4,61.8,55.0,4,4,7,1261
379,379,0.27,62.1,57.0,2,2,5,486
380,380,1.29,61.0,57.0,3,2,1,5418
381,381,1.5,62.5,59.0,3,1,3,9055
382,382,0.7,61.4,57.0,2,4,2,2161
383,383,0.54,61.8,59.0,2,4,4,1653
384,384,1.0,63.5,56.0,2,4,2,5122
385,385,1.26,62.1,57.0,3,2,2,6435
386,386,0.91,63.5,57.0,2,5,2,4138
387,387,0.32,61.4,57.0,4,1,7,655
388,388,0.7,60.6,58.0,3,6,4,3239
389,389,0.51,62.6,55.0,4,4,3,1875
390,390,0.3,60.8,57.0,4,3,3,491
391,391,0.3,62.5,56.0,4,2,4,675
392,392,0.56,60.5,57.0,2,5,5,2442
393,393,1.5,63.0,59.0,2,6,3,13372
394,394,0.31,62.3,57.0,4,4,3,625
395,395,0.31,63.1,57.0,1,4,2,516
396,396,1.62,61.3,56.0,4,4,4,16790
397,397,0.38,60.9,58.0,2,6,3,933
398,398,0.51,61.3,59.0,3,3,3,1443
399,399,1.23,60.6,59.0,2,2,3,6459
400,400,1.19,60.2,61.0,3,5,0,3572
401,401,0.55,60.1,59.0,3,5,3,1735
402,402,1.5,62.6,59.0,2,4,3,12870
403,403,1.15,58.8,58.0,3,2,5,6917
404,404,0.56,60.0,55.0,4,5,4,2352
405,405,1.58,62.5,55.0,4,6,1,11428
406,406,0.71,62.9,57.0,2,5,2,2573
407,407,0.39,63.3,56.0,1,0,3,581
409,409,0.71,60.8,60.0,3,5,2,2629
410,410,0.53,61.6,55.0,4,2,4,1678
411,411,0.5,61.1,58.0,4,5,1,1185
412,412,0.5,63.9,56.0,1,6,2,1257
414,414,0.46,61.3,57.0,2,5,3,1081
415,415,0.32,61.6,55.0,4,3,4,665
416,416,0.31,63.1,56.0,2,3,3,698
417,417,0.35,61.9,56.0,4,5,4,1063
418,418,1.55,62.6,59.0,3,0,4,8593
419,419,0.33,58.3,62.0,2,5,4,886
420,420,1.01,63.4,60.0,2,5,3,6787
421,421,0.71,62.5,56.0,2,2,5,2594
422,422,1.16,60.4,59.0,3,1,4,5457
423,423,0.9,65.2,59.0,0,3,2,3250
424,424,0.49,62.3,55.0,4,6,4,1934
425,425,1.32,61.1,57.0,4,3,3,9408
428,428,0.38,61.9,59.0,2,4,3,800
429,429,0.38,63.3,57.0,1,2,2,633
430,430,1.52,63.6,54.0,1,4,2,10664
431,431,1.03,62.0,58.0,3,0,1,3378
432,432,1.01,63.3,57.0,2,4,3,6533
433,433,0.41,60.4,58.0,3,4,5,1115
434,434,0.7,62.7,58.0,2,1,4,2288
435,435,0.26,62.4,56.0,2,3,4,423
436,436,0.78,64.6,56.0,0,3,2,2359
437,437,0.31,61.5,56.0,3,4,3,802
438,438,1.2,62.0,56.0,4,2,3,6666
439,439,1.08,60.5,57.0,4,2,2,6426
440,440,1.3,62.8,55.2,4,2,6,9232
441,441,1.05,59.7,55.0,2,4,7,11417
442,442,1.01,61.0,60.0,2,4,1,5067
443,443,0.75,62.2,55.0,4,3,2,2760
444,444,0.77,62.0,57.0,4,0,2,2257
445,445,0.91,62.2,60.0,2,5,3,4759
446,446,0.78,57.9,62.0,1,5,2,2723
447,447,0.33,60.0,57.0,4,5,4,802
448,448,1.01,62.9,60.0,3,2,3,4559
449,449,0.3,62.5,57.0,2,6,3,670
450,450,0.3,62.0,55.0,2,2,5,533
451,451,0.44,61.9,57.0,2,0,4,694
452,452,0.4,62.4,59.0,3,6,3,1050
453,453,0.9,64.7,54.0,0,4,3,3931
454,454,0.42,61.4,56.0,4,6,3,1103
455,455,0.41,59.9,58.0,3,1,5,1061
456,456,1.52,60.8,60.0,3,5,1,9193
457,457,1.02,62.2,61.0,1,0,1,3639
458,458,0.36,60.6,56.0,4,3,3,664
459,459,0.53,61.6,54.0,4,2,1,1020
460,460,0.34,59.0,62.0,3,3,6,1071
461,461,0.43,61.8,55.0,4,3,2,795
462,462,1.05,59.3,58.0,3,6,2,6174
463,463,0.54,61.0,56.0,4,4,3,1615
464,464,0.31,62.3,57.0,3,3,1,523
465,465,0.3,64.1,57.0,1,1,2,391
466,466,1.0,63.9,55.0,1,3,4,6028
467,467,1.0,62.6,58.0,2,3,1,4725
468,468,1.2,61.5,57.0,4,1,5,6581
469,469,0.33,62.1,55.0,4,2,6,730
470,470,1.53,61.4,59.0,4,3,5,15275
471,471,1.51,59.8,58.0,3,5,3,14482
472,472,1.01,61.6,59.0,3,6,3,6271
473,473,1.01,62.0,63.0,2,3,2,3137
474,474,0.57,60.2,59.0,4,3,3,1642
475,475,0.5,62.0,55.0,4,1,2,982
476,476,0.33,61.9,56.0,2,6,5,856
477,477,0.44,60.2,59.0,3,6,4,1232
478,478,0.72,63.5,59.0,2,5,1,2376
479,479,0.32,62.2,54.0,4,4,7,943
480,480,1.01,60.7,58.0,3,5,2,5525
481,481,1.01,65.0,57.0,0,6,2,5385
482,482,1.5,62.3,60.0,3,1,3,9479
483,483,1.0,59.1,62.0,1,3,3,6369
484,484,1.08,58.9,58.0,1,3,3,6708
485,485,0.3,63.6,56.0,1,2,5,605
486,486,0.34,59.5,59.0,3,1,4,537
487,487,0.52,61.5,56.0,4,4,3,1981
488,488,0.91,62.0,56.0,4,2,2,4337
489,489,1.5,61.6,57.0,4,2,2,7627
490,490,1.25,63.5,57.0,2,2,1,4060
491,491,0.4,62.2,63.0,1,4,5,936
493,493,0.9,61.7,60.0,2,3,4,4872
494,494,0.32,61.8,57.0,2,6,3,758
495,495,0.7,62.9,57.0,3,4,1,2184
496,496,1.01,62.3,59.0,4,1,2,4518
497,497,0.55,63.6,61.0,1,3,2,1213
498,498,0.31,62.1,54.0,4,6,3,804
499,499,0.27,61.5,56.0,4,6,5,586
500,500,0.4,61.9,59.0,3,5,3,975
501,501,0.6,62.1,57.0,2,4,3,1772
502,502,0.4,60.5,57.0,4,1,6,1080
503,503,1.2,62.0,55.0,4,3,4,9625
504,504,1.09,61.6,58.0,3,6,2,5799
505,505,0.67,62.1,54.0,4,2,2,1550
506,506,0.7,61.0,59.0,3,5,3,3199
507,507,0.52,61.5,56.0,4,1,4,1357
508,508,0.33,61.9,58.0,3,2,4,743
509,509,0.7,60.2,62.0,2,5,3,2843
510,510,0.57,62.1,58.0,2,5,2,1397
511,511,1.01,62.4,60.0,3,5,2,5002
512,512,0.54,62.0,56.0,4,3,5,1920
513,513,2.01,59.5,58.0,3,4,2,14502
514,514,0.31,61.6,56.0,4,3,7,839
515,515,1.01,64.7,54.0,0,4,4,6759
516,516,0.32,61.9,59.0,2,2,2,449
517,517,1.01,60.8,56.0,4,5,2,6346
518,518,0.91,62.6,55.0,4,4,3,5261
519,519,0.5,60.7,58.0,3,4,3,1654
521,521,1.11,61.2,59.0,3,3,1,4755
522,522,0.33,63.1,57.0,1,3,4,666
523,523,1.04,61.9,57.0,4,3,3,6628
524,524,1.0,62.8,57.0,3,0,4,4144
525,525,0.33,62.3,58.0,3,3,4,666
526,526,0.56,60.7,57.0,4,5,3,1819
527,527,0.32,61.3,54.0,4,5,5,779
528,528,0.7,60.8,58.0,3,5,3,2697
529,529,0.4,62.3,55.0,4,3,7,1229
530,530,1.35,62.2,56.0,2,2,1,6088
531,531,0.43,61.0,58.0,3,6,2,774
532,532,0.91,62.7,59.0,2,6,1,3298
533,533,0.77,61.5,55.0,4,4,2,3321
534,534,0.9,62.2,59.0,3,5,2,4259
535,535,0.35,60.7,56.0,4,5,2,667
536,536,1.06,62.0,57.0,4,6,5,11837
537,537,2.06,64.1,56.0,1,0,2,11854
538,538,0.39,62.1,53.0,4,5,2,719
539,539,1.0,60.0,60.0,2,6,4,7281
540,540,1.0,63.5,59.0,2,6,1,4295
541,541,0.31,61.3,55.0,4,5,1,435
542,542,1.02,58.8,57.0,4,2,1,3142
543,543,0.9,61.3,58.0,3,4,2,3714
544,544,0.25,59.4,62.0,2,4,7,548
545,545,1.04,60.3,62.0,2,3,1,4084
546,546,0.53,61.9,56.0,4,3,4,1813
547,547,0.31,61.8,58.0,2,4,4,592
548,548,0.7,64.1,56.0,1,3,1,1935
549,549,0.54,61.5,56.0,4,1,4,1147
550,550,0.41,62.6,59.0,3,3,3,1061
551,551,0.71,61.2,58.0,2,5,3,2891
552,552,1.21,59.9,59.0,3,0,3,4841
553,553,1.84,62.4,56.0,4,0,4,8828
554,554,0.24,58.0,60.0,1,5,6,526
555,555,1.25,61.0,59.0,3,1,3,5975
556,556,0.32,62.3,55.0,2,6,2,589
557,557,0.53,63.7,55.0,1,5,3,1727
558,558,0.35,62.1,56.0,2,3,7,833
560,560,0.32,61.9,59.0,2,4,6,926
561,561,1.02,61.8,56.0,4,3,5,9286
562,562,0.32,61.7,61.0,2,2,4,561
563,563,1.5,62.8,57.0,2,3,2,9996
564,564,0.7,61.8,55.0,3,6,1,2222
565,565,1.6,59.8,54.0,4,3,7,16547
566,566,0.3,62.8,58.0,2,4,3,605
567,567,0.36,60.1,59.0,2,4,4,825
568,568,1.37,58.3,60.0,3,3,4,10412
569,569,0.43,59.8,58.0,3,4,3,905
570,570,1.25,60.7,56.0,4,3,2,8226
571,571,0.6,61.5,58.0,4,4,2,1646
572,572,1.5,62.3,60.0,3,5,3,14179
573,573,0.5,61.7,56.0,4,6,3,1844
574,574,0.34,60.0,59.0,2,6,3,730
575,575,0.71,61.1,57.0,4,3,2,2307
576,576,0.3,61.6,61.0,3,1,4,567
577,577,0.28,62.0,55.0,2,2,5,522
578,578,1.2,62.8,54.5,2,1,4,6652
